stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
31,MUSEE DE LA BD / STRIPMUSEUM,MUSEE DE LA BD/STRIPMUSEUM - BOULEVARD PACHECO/PACHECOLAAN,50.850303,4.360706,FALSE,OPEN,Bruxelles-Capitale,25,18,7,2018-03-03T17:38:48+00:00
345,3 TILLEULS,3 TILLEULS - AV DES ORTOLANS 2,50.802675,4.412073,FALSE,OPEN,Bruxelles-Capitale,18,10,8,2018-03-03T17:39:18+00:00
28,CLEMENCEAU / CLEMENCEAU,CLEMENCEAU - CHEE DE MONS/ BERGENSE STEENWEG 159-161-163,50.842005,4.3305,FALSE,OPEN,Bruxelles-Capitale,27,16,11,2018-03-03T17:39:05+00:00
83,SIMONIS,SIMONIS / BD LEOPOLD II (DEVANT 282)/ LEOPOLD II-LAAN (N?? 282),50.86284,4.33126,FALSE,OPEN,Bruxelles-Capitale,32,27,5,2018-03-03T17:38:55+00:00
328,HEYDENBERG,HEYDENBERG - AV HEYDENBERG FACE 99-101,50.849988,4.417064,FALSE,OPEN,Bruxelles-Capitale,20,7,13,2018-03-03T17:39:25+00:00
73,VLEURGAT,VLEURGAT - AVENUE LOUISE/LOUIZALAAN 300,50.823898,4.367752,TRUE,OPEN,Bruxelles-Capitale,25,21,4,2018-03-03T17:39:08+00:00
291,DECROLY,DECROLY - RUE GATTI DE GAMMOND / GATTI DE GAMMOND STRAAT,50.804661,4.327886,FALSE,OPEN,Bruxelles-Capitale,19,14,4,2018-03-03T17:39:09+00:00
301,MARIE-JOSE,MARIE-JOSE - PLACE MARIE-JOSE FACE 6 / MARIE-JOSE PLAATS VOOR 6,50.806271,4.387673,FALSE,OPEN,Bruxelles-Capitale,20,9,11,2018-03-03T17:38:49+00:00
264,NOTRE DAME/ONZE LIEVE VROUW,NOTRE DAME / ONZE LIEVE VROUW - AV NOTRE DAME 53 A 61 / ONZE LIEVE VROUWLAAN 53 TOT 61,50.870983,4.397506,FALSE,OPEN,Bruxelles-Capitale,20,11,9,2018-03-03T17:40:32+00:00
188,OSSEGHEM,OSSEGHEM -  AVENUE MAHATMA GANDHI/ MAHATMA GANDHILAAN 10,50.857235,4.324354,FALSE,OPEN,Bruxelles-Capitale,24,11,13,2018-03-03T17:39:52+00:00
